Calendar Event Ticket User,,,,,,,
,comment,Buy a ticket ,Buy a ticket using the promocode (limited number of tickets),,,,
,pending,,,,,,
,linkname,CALENDAR_EVENT_BST1,CALENDAR_EVENT_PROMO_BST1,,,,
,username,user_js_1,user_js_1,,,,
,password,pass_js_1,pass_js_1,,,,
Buy Tickets Page,firstname,joe,joe,,,,
,lastname,smith,smith,,,,
,email,devnull+js1@convio.com,devnull+js1@convio.com,,,,
,emailoptin,,,,,,
,rememberme,,,,,,
,showinguestlist,1,1,,,,
,tickets,{'unlimited'=>2},limited,,,,
,additionalgift,25,,,,,
,emailreminder,1,1,,,,
,reminder,2 days before the event,2 days before the event,,,,
,title,,,,,,
,middlename,,,,,,
,suffix,,,,,,
,profsuffix,,,,,,
,street1,3607 Clawson Rd,3607 Clawson Rd,,,,
,street2,,,,,,
,city,Austin,Austin,,,,
,state,TX,TX,,,,
,zip,78704,78704,,,,
,country,United States,United States,,,,
,phone,512-123-4567,512-123-4567,,,,
,creditcard,Visa,Visa,,,,
,cardnumber,4111111111111111,4111111111111111,,,,
,verificationcode,111,111,,,,
,expmonth,12,12,,,,
,expyear,2009,2009,,,,
Include Questions,surveyquestion1,,,,,,
,surveyquestiontype1,,,,,,
,surveyanswer1,,,,,,
,surveyquestion2,,,,,,
,surveyquestiontype2,,,,,,
,surveyanswer2,,,,,,
,surveyquestion3,,,,,,
,surveyquestiontype3,,,,,,
,surveyanswer3,,,,,,
,surveyquestion4,,,,,,
,surveyquestiontype4,,,,,,
,surveyanswer4,,,,,,
,surveyquestion5,,,,,,
,surveyquestiontype5,,,,,,
,surveyanswer5,,,,,,
,surveyquestion6,,,,,,
,surveyquestiontype6,,,,,,
,surveyanswer6,,,,,,
,surveyquestion7,,,,,,
,surveyquestiontype7,,,,,,
,surveyanswer7,,,,,,
,surveyquestion8,,,,,,
,surveyquestiontype8,,,,,,
,surveyanswer8,,,,,,
,surveyquestion9,,,,,,
,surveyquestiontype9,,,,,,
,surveyanswer9,,,,,,
,surveyquestion10,,,,,,
,surveyquestiontype10,,,,,,
,surveyanswer10,,,,,,
,surveyquestion11,,,,,,
,surveyquestiontype11,,,,,,
,surveyanswer11,,,,,,
,surveyquestion12,,,,,,
,surveyquestiontype12,,,,,,
,surveyanswer12,,,,,,
,surveyquestion13,,,,,,
,surveyquestiontype13,,,,,,
,surveyanswer13,,,,,,
,surveyquestion14,,,,,,
,surveyquestiontype14,,,,,,
,surveyanswer14,,,,,,
,surveyquestion15,,,,,,
,surveyquestiontype15,,,,,,
,surveyanswer15,,,,,,
,surveyquestion16,,,,,,
,surveyquestiontype16,,,,,,
,surveyanswer16,,,,,,
,surveyquestion17,,,,,,
,surveyquestiontype17,,,,,,
,surveyanswer17,,,,,,
,surveyquestion18,,,,,,
,surveyquestiontype18,,,,,,
,surveyanswer18,,,,,,
,surveyquestion19,,,,,,
,surveyquestiontype19,,,,,,
,surveyanswer19,,,,,,
,surveyquestion20,,,,,,
,surveyquestiontype20,,,,,,
,surveyanswer20,,,,,,
,create,nil,nil,,,,
,verify_col1_unlimited,$25.00 ,,,,,
,verify_col2_unlimited,2,,,,,
,verify_col3_unlimited,$50.00 ,,,,,
,verify_col4_unlimited,$20.00 ,,,,,
,verify_col1_limited,,$10.00 ,,,,
,verify_col2_limited,,1,,,,
,verify_col3_limited,,$10.00 ,,,,
,verify_col4_limited,,$9.00 ,,,,
,verify_col3_Additional_Gift,$25.00 ,error,,,,
,verify_col4_Additional_Gift,$25.00 ,error,,,,
,verify_col2_Totals,2,1,,,,
,verify_col3_Totals,$75.00 ,$10.00 ,,,,
,verify_col4_Totals,$45.00 ,$9.00 ,,,,
