TeamRaiser Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,comment,Register as an individual,Form a new team,Join an existing team,Donate directly to event,Donate directly to event anonymously,"Donate directly to event, not public",,,,,,,,,,,,,,,,,,,,,,,,
,linkname,TEAMRAISER_BST1,TEAMRAISER_BST1,TEAMRAISER_BST1,TEAMRAISER_BST1,TEAMRAISER_BST1,TEAMRAISER_BST1,,,,,,,,,,,,,,,,,,,,,,,,
,loginusername,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,loginpassword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,registrationtype,Register as an individual,Form a new team,Join an existing team,Donate directly to event,Donate directly to individual,Donate directly to team,,,,,,,,,,,,,,,,,,,,,,,,
Team Registration,teamname,,BST_Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teamcompany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teamcompanynew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teamdivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teampassword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teamgoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual registration,participationtype,TR_PARTICIPATION_BST1,TR_PARTICIPATION_BST1,TR_PARTICIPATION_BST1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fundraisinggoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,additionalgift,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,firstname,reg_indv1,teamcapt1,jointeam1,donevent1,donind1,donteam1,,,,,,,,,,,,,,,,,,,,,,,,
,middlename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lastname,reg_indv1,teamcapt1,jointeam1,donevent1,donind1,donteam1,,,,,,,,,,,,,,,,,,,,,,,,
,suffix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,email,devnull+1regind@convio.com,devnull+1teamcapt@convio.com,devnull+1jointeam@convio.com,devnull+1donevent@convio.com,devnull+1donind@convio.com,devnull+1donteam@convio.com,,,,,,,,,,,,,,,,,,,,,,,,
