ActionAlertUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment,Send an action alert and verify the targets (including the custom target),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bugid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linkname,ACTION_ALERT_BST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firstname,alertuser1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastname,alertuser1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
address1,11506 Eubank Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
address2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zip,78758-3940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone,23333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
email,devnull+alertuser1@convio.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
periodicupdates,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rememberme,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layoutoption,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targets,"[""President Barack Obama"",
""Vice President Joseph 'Joe' R. Biden Jr."",
""First Lady Michelle Obama"",
""Senator Kay Bailey Hutchison"",
""Senator John Cornyn III"",
""Representative Michael McCaul"",
""Governor Rick Perry"",
""Senator Kirk Watson"",
""Representative Mark Strama"",
""Mr. Zinedine1 Zidane1""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify_targets,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
