Contact Name,Address,City,Postal Code,Country,Phone,,,
Ana Trujillo,Avda. de la Constitución 2222,México D.F.,5021,Mexico,(5) 555-4729,,,
Antonio Moreno,Mataderos  2312,México D.F.,5023,Mexico,(5) 555-3932,,,
Christina Berglund,Berguvsvägen  8,Luleå,S-958 22,Sweden,0921-12 34 65,,,
Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,88.60.15.31,,,
Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,(171) 555-7788,,,
Georg Pipps,Geislweg 14,Salzburg,5020,Austria,6562-9722,,,
Guillermo Fernández,Calle Dr. Jorge Cash 321,México D.F.,5033,Mexico,(5) 552-3745,,,
Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany,0621-08460,,,
Henriette Pfalzheim,Mehrheimerstr. 369,Köln,50739,Germany,0221-0644327,,,
Henriette Pfalzheim,Mehrheimerstr. 369,Köln,50739,Germany,0221-0644327,,,
Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,0372-035188,,,
Isabel de Castro,Estrada da saúde n. 58,Lisboa,1756,Portugal,(1) 356-5634,,,
Maria Anders,Obere Str. 57,Berlin,12209,Germany,030-0074321,,,
Marie Bertrand,"265, boulevard Charonne",Paris,75012,France,(1) 42.34.22.66,,,
Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany,0621-08460,,,
Sergio Gutiérrez,Av. del Libertador 900,Buenos Aires,1010,Argentina,(1) 123-5555,,,
Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,(171) 555-7788,,,
Maria Anders,Obere Str. 57,Berlin,12209,Germany,030-0074321,,,
Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,(171) 555-7788,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
